"","A1","A2","B","C","D"
"A1",0,0.145729517709079,0.178448321938892,0.167328975610486,0.18293925065733
"A2",0.145729517709079,0,0.168980567284007,0.169124311395415,0.204900036350953
"B",0.178448321938892,0.168980567284007,0,0.15112209980867,0.171879243856684
"C",0.167328975610486,0.169124311395415,0.15112209980867,0,0.191667348743013
"D",0.18293925065733,0.204900036350953,0.171879243856684,0.191667348743013,0
